"pais";"moeda_en";"moeda_pt";"moeda_es";"cod_moeda";"num_moeda";
"UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND (THE)";"Pound Sterling";"Libra esterlina";"Libra esterlina";"GBP";826;
"TANZANIA";" UNITED REPUBLIC OF";"Libra esterlina";"Libra esterlina";"GBP";826;
"AMERICAN SAMOA";"US Dollar";"Libra esterlina";"Libra esterlina";"GBP";826;
"BONAIRE";" SINT EUSTATIUS AND SABA";" REPÚBLICA UNIDA";"Chelín tanzano";"TZS";834;
"BRITISH INDIAN OCEAN TERRITORY (THE)";"US Dollar";"Dólar americano";"Dólar estadounidense";"USD";840;
"ECUADOR";"US Dollar";" SINT EUSTATIUS E SABA";" SAN EUSTAQUIO Y SABA";"Dólar estadounidense";"USD";840
"EL SALVADOR";"US Dollar";"Dólar americano";"Dólar estadounidense";"USD";840;
"GUAM";"US Dollar";"Dólar americano";"Dólar estadounidense";"USD";840;
"HAITI";"US Dollar";"Dólar americano";"Dólar estadounidense";"USD";840;
"MARSHALL ISLANDS (THE)";"US Dollar";"Dólar americano";"Dólar estadounidense";"USD";840;
"MICRONESIA (FEDERATED STATES OF)";"US Dollar";"Dólar americano";"Dólar estadounidense";"USD";840;
